asset_id,corp_ig_broad,corp_aaa,corp_aa,corp_a,corp_bbb,corp_1_3y,hy_broad,hy_bb,hy_b,hy_ccc,em_broad,em_high_grade,em_high_yield,municipal_broad,agg_etf,bnd_etf,lqd_etf,vcit_etf,vcsh_etf,hyg_etf,jnk_etf,mub_etf,tip_etf,emb_etf,bndx_etf,ief_etf,tlt_etf,shy_etf
corp_ig_broad,0.00451771,0.00474058,0.00403775,0.00416161,0.00489822,0.00123147,0.00375956,0.00374209,0.00360324,0.00426753,0.00358204,0.00329973,0.00425358,0.00095955,0.00308321,0.00320418,0.00546843,0.00448058,0.00188211,0.00388588,0.0040894,0.00265302,0.00279204,0.00599843,0.0024238,0.00313617,0.00648979,0.00062452
corp_aaa,0.00474058,0.00596048,0.00469806,0.00459657,0.00484258,0.0011224,0.00303887,0.00331995,0.00279513,0.00254561,0.00317607,0.00321969,0.00311229,0.00111606,0.00383134,0.00386893,0.0060697,0.00470192,0.00186411,0.00346494,0.00356473,0.00311522,0.00325019,0.00564408,0.00280223,0.00450704,0.00945014,0.00087707
corp_aa,0.00403775,0.00469806,0.00385888,0.00383671,0.00422479,0.00103657,0.00291881,0.00304683,0.00274307,0.00287176,0.00293285,0.00283836,0.00317688,0.00093572,0.00307101,0.00313021,0.0050343,0.00401006,0.00164798,0.00317496,0.00330259,0.00254844,0.00267907,0.00503307,0.00229724,0.00342832,0.00705241,0.00069216
corp_a,0.00416161,0.00459657,0.00383671,0.00390219,0.00442823,0.00110758,0.00318824,0.0032632,0.00301808,0.00334738,0.0031499,0.00297998,0.00356805,0.00092162,0.00300185,0.00309121,0.00509702,0.00412905,0.0017194,0.00338329,0.00353971,0.00250047,0.00265092,0.0053171,0.00229024,0.00321805,0.00664598,0.00064917
corp_bbb,0.00489822,0.00484258,0.00422479,0.00442823,0.00541605,0.00137216,0.00440986,0.00427993,0.0042699,0.00534176,0.00407061,0.00365187,0.00505004,0.00099121,0.00313715,0.00329735,0.00584746,0.00485461,0.00206049,0.00444456,0.00470464,0.00278829,0.00292056,0.00674814,0.0025476,0.00298483,0.00619401,0.000586
corp_1_3y,0.00123147,0.0011224,0.00103657,0.00110758,0.00137216,0.0004324,0.00110927,0.00108248,0.00107756,0.00131086,0.00109905,0.0009795,0.00137947,0.00029501,0.00079436,0.00083961,0.00141622,0.00126327,0.00060034,0.00111661,0.00118147,0.00067578,0.00072955,0.00168023,0.00064275,0.00075066,0.00128584,0.00020961
hy_broad,0.00375956,0.00303887,0.00291881,0.00318824,0.00440986,0.00110927,0.00541082,0.00489108,0.00545576,0.00742757,0.00359171,0.00288733,0.00519848,0.00076123,0.00191832,0.00209054,0.00449205,0.003822,0.00166142,0.00523087,0.00558744,0.00203955,0.00228822,0.00620063,0.0018821,0.00118506,0.00213187,0.00023008
hy_bb,0.00374209,0.00331995,0.00304683,0.0032632,0.00427993,0.00108248,0.00489108,0.00462154,0.00486685,0.00605362,0.00333461,0.00276705,0.00463723,0.00078926,0.00210636,0.00226173,0.00455186,0.00382847,0.00165285,0.00488805,0.00518558,0.00205182,0.00237243,0.00584408,0.0019321,0.0016042,0.0028939,0.00033331
hy_b,0.00360324,0.00279513,0.00274307,0.00301808,0.0042699,0.00107756,0.00545576,0.00486685,0.00557832,0.00754741,0.00353236,0.00279947,0.00520498,0.0007288,0.00175886,0.00193194,0.00428427,0.00367794,0.00160624,0.00525774,0.00562143,0.0019795,0.00218079,0.00613265,0.00181734,0.0009571,0.00166592,0.00017488
hy_ccc,0.00426753,0.00254561,0.00287176,0.00334738,0.00534176,0.00131086,0.00742757,0.00605362,0.00754741,0.01284044,0.0048604,0.00366243,0.00755891,0.00073111,0.00158655,0.00182109,0.00481243,0.00420064,0.00185212,0.00652832,0.00711144,0.00218299,0.00223483,0.00790816,0.00184947,8.982e-05,0.00030059,-4.786e-05
em_broad,0.00358204,0.00317607,0.00293285,0.0031499,0.00407061,0.00109905,0.00359171,0.00333461,0.00353236,0.0048604,0.00358055,0.00303943,0.00482956,0.00071122,0.0021158,0.00223702,0.00413526,0.00353463,0.0015686,0.00343094,0.00367755,0.0020766,0.00193251,0.00560017,0.00172279,0.00177298,0.00361801,0.00038167
em_high_grade,0.00329973,0.00321969,0.00283836,0.00297998,0.00365187,0.0009795,0.00288733,0.00276705,0.00279947,0.00366243,0.00303943,0.00274093,0.00373768,0.00071057,0.00214995,0.00223668,0.00385893,0.00325424,0.00142098,0.00282241,0.00300068,0.0019966,0.00188432,0.00472946,0.00169663,0.00206574,0.00426846,0.00043638
em_high_yield,0.00425358,0.00311229,0.00317688,0.00356805,0.00505004,0.00137947,0.00519848,0.00463723,0.00520498,0.00755891,0.00482956,0.00373768,0.00734289,0.00072142,0.00205916,0.00226114,0.00479668,0.0041948,0.00191568,0.00483589,0.0052353,0.00227719,0.00206496,0.00761681,0.00179782,0.0011279,0.00221053,0.00026317
